Hour,Minute,Second,AccZ,AccY,AccX,Temp,EDA,Label
13,48,16,-0.1,-0.87,0.76,30.1,0.083,Relax
13,48,16.125,-0.11,-0.87,0.77,30.1,0.081,Relax
13,48,16.25,-0.1,-0.87,0.75,30.1,0.081,Relax
13,48,16.375,-0.1,-0.87,0.77,30.1,0.079,Relax
13,48,16.5,-0.1,-0.87,0.75,30.1,0.081,Relax
13,48,16.625,-0.11,-0.88,0.75,30.1,0.081,Relax
13,48,16.75,-0.1,-0.87,0.75,30.1,0.083,Relax
13,48,16.875,-0.11,-0.87,0.75,30.1,0.083,Relax
13,48,17,-0.11,-0.87,0.75,30.1,0.081,Relax
13,48,17.125,-0.11,-0.87,0.76,30.1,0.081,Relax
13,48,17.25,-0.11,-0.87,0.76,30.1,0.081,Relax
13,48,17.375,-0.1,-0.87,0.76,30.1,0.081,Relax
13,48,17.5,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,17.625,-0.1,-0.88,0.76,30.1,0.083,Relax
13,48,17.75,-0.11,-0.87,0.76,30.1,0.083,Relax
13,48,17.875,-0.1,-0.87,0.75,30.1,0.083,Relax
13,48,18,-0.11,-0.87,0.75,30.1,0.083,Relax
13,48,18.125,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,18.25,-0.11,-0.87,0.75,30.1,0.081,Relax
13,48,18.375,-0.11,-0.88,0.75,30.1,0.083,Relax
13,48,18.5,-0.1,-0.87,0.75,30.1,0.081,Relax
13,48,18.625,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,18.75,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,18.875,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,19,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,19.125,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,19.25,-0.1,-0.88,0.75,30.1,0.083,Relax
13,48,19.375,-0.1,-0.87,0.76,30.1,0.081,Relax
13,48,19.5,-0.11,-0.87,0.76,30.1,0.083,Relax
13,48,19.625,-0.1,-0.87,0.76,30.1,0.083,Relax
13,48,19.75,-0.1,-0.87,0.76,30.1,0.083,Relax
13,48,19.875,-0.11,-0.87,0.76,30.1,0.083,Relax
13,48,20,-0.1,-0.86,0.76,30.1,0.081,Relax
13,48,20.125,-0.1,-0.87,0.76,30.1,0.083,Relax
13,48,20.25,-0.11,-0.87,0.76,30.1,0.081,Relax
13,48,20.375,-0.1,-0.87,0.76,30.1,0.083,Relax
13,48,20.5,-0.1,-0.87,0.77,30.1,0.083,Relax
13,48,20.625,-0.1,-0.87,0.76,30.1,0.081,Relax
13,48,20.75,-0.1,-0.87,0.76,30.1,0.083,Relax
13,48,20.875,-0.11,-0.87,0.75,30.1,0.083,Relax
13,48,21,-0.1,-0.87,0.75,30.1,0.081,Relax
