Hour,Minute,Second,AccZ,AccY,AccX,Temp,EDA,Label
15,8,10,-0.15,-0.54,1.06,25.6,0.996,Relax
15,8,10.125,-0.16,-0.54,1.06,25.8,0.996,Relax
15,8,10.25,-0.15,-0.54,1.06,25.8,0.996,Relax
15,8,10.375,-0.15,-0.54,1.05,25.6,0.996,Relax
15,8,10.5,-0.15,-0.54,1.06,25.8,0.996,Relax
15,8,10.625,-0.15,-0.54,1.05,25.8,0.996,Relax
15,8,10.75,-0.15,-0.54,1.06,25.6,0.996,Relax
15,8,10.875,-0.15,-0.54,1.06,25.8,0.993,Relax
15,8,11,-0.15,-0.54,1.05,25.6,0.987,Relax
15,8,11.125,-0.15,-0.54,1.06,25.8,0.987,Relax
15,8,11.25,-0.16,-0.54,1.05,25.8,0.987,Relax
15,8,11.375,-0.16,-0.54,1.06,25.8,0.987,Relax
15,8,11.5,-0.15,-0.54,1.06,25.8,0.987,Relax
15,8,11.625,-0.15,-0.54,1.05,25.8,0.984,Relax
15,8,11.75,-0.15,-0.55,1.06,25.8,0.978,Relax
15,8,11.875,-0.15,-0.54,1.06,25.8,0.978,Relax
15,8,12,-0.15,-0.54,1.06,25.8,0.978,Relax
15,8,12.125,-0.16,-0.54,1.06,25.8,0.978,Relax
15,8,12.25,-0.15,-0.54,1.06,25.8,0.978,Relax
15,8,12.375,-0.15,-0.54,1.06,25.8,0.978,Relax
15,8,12.5,-0.15,-0.54,1.06,25.8,0.975,Relax
15,8,12.625,-0.15,-0.54,1.06,25.8,0.969,Relax
15,8,12.75,-0.15,-0.54,1.06,25.8,0.969,Relax
15,8,12.875,-0.15,-0.54,1.05,25.8,0.969,Relax
15,8,13,-0.15,-0.54,1.06,25.8,0.969,Relax
15,8,13.125,-0.15,-0.54,1.06,25.8,0.969,Relax
15,8,13.25,-0.16,-0.54,1.06,25.8,0.969,Relax
15,8,13.375,-0.15,-0.54,1.06,25.8,0.969,Relax
15,8,13.5,-0.15,-0.54,1.05,25.8,0.969,Relax
15,8,13.625,-0.15,-0.54,1.06,25.8,0.963,Relax
15,8,13.75,-0.15,-0.54,1.06,25.8,0.96,Relax
15,8,13.875,-0.15,-0.54,1.06,25.8,0.96,Relax
15,8,14,-0.15,-0.54,1.06,25.8,0.96,Relax
15,8,14.125,-0.15,-0.54,1.06,25.8,0.957,Relax
15,8,14.25,-0.15,-0.54,1.06,25.8,0.96,Relax
15,8,14.375,-0.15,-0.54,1.06,25.8,0.951,Relax
15,8,14.5,-0.16,-0.54,1.05,25.8,0.957,Relax
15,8,14.625,-0.15,-0.54,1.07,25.8,0.951,Relax
15,8,14.75,-0.15,-0.54,1.06,25.8,0.951,Relax
15,8,14.875,-0.15,-0.54,1.06,25.8,0.951,Relax
15,8,15,-0.15,-0.54,1.06,25.8,0.948,Relax
15,8,15.125,-0.15,-0.54,1.06,25.8,0.948,Relax
15,8,15.25,-0.15,-0.54,1.06,25.8,0.948,Relax
15,8,15.375,-0.15,-0.54,1.06,25.8,0.945,Relax
15,8,15.5,-0.15,-0.54,1.05,25.8,0.942,Relax
15,8,15.625,-0.15,-0.54,1.05,25.8,0.942,Relax
15,8,15.75,-0.15,-0.54,1.06,25.8,0.939,Relax
15,8,15.875,-0.15,-0.54,1.06,25.8,0.939,Relax
15,8,16,-0.15,-0.54,1.06,25.8,0.939,Relax
15,8,16.125,-0.15,-0.53,1.06,25.8,0.933,Relax
15,8,16.25,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,16.375,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,16.5,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,16.625,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,16.75,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,16.875,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,17,-0.15,-0.54,1.05,25.8,0.933,Relax
15,8,17.125,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,17.25,-0.15,-0.54,1.06,25.8,0.928,Relax
15,8,17.375,-0.15,-0.54,1.06,25.8,0.933,Relax
15,8,17.5,-0.15,-0.54,1.06,25.8,0.925,Relax
15,8,17.625,-0.15,-0.54,1.06,25.8,0.925,Relax
15,8,17.75,-0.15,-0.54,1.06,25.8,0.925,Relax
15,8,17.875,-0.15,-0.54,1.06,25.8,0.925,Relax
15,8,18,-0.15,-0.54,1.06,25.8,0.925,Relax
15,8,18.125,-0.16,-0.54,1.05,25.8,0.925,Relax
15,8,18.25,-0.15,-0.54,1.07,25.8,0.916,Relax
15,8,18.375,-0.15,-0.53,1.06,25.8,0.916,Relax
15,8,18.5,-0.15,-0.54,1.06,25.8,0.916,Relax
15,8,18.625,-0.15,-0.54,1.06,25.8,0.916,Relax
15,8,18.75,-0.15,-0.55,1.05,25.8,0.916,Relax
15,8,18.875,-0.15,-0.53,1.05,25.8,0.916,Relax
15,8,19,-0.14,-0.53,1.07,26,0.916,Relax
15,8,19.125,-0.14,-0.54,1.07,25.8,0.916,Relax
15,8,19.25,-0.13,-0.54,1.05,25.8,0.913,Relax
15,8,19.375,-0.16,-0.54,1.05,25.8,0.913,Relax
15,8,19.5,-0.13,-0.54,1.06,25.8,0.913,Relax
15,8,19.625,-0.14,-0.54,1.06,25.8,0.913,Relax
15,8,19.75,-0.15,-0.54,1.06,26,0.907,Relax
15,8,19.875,-0.14,-0.53,1.07,26,0.907,Relax
15,8,20,-0.14,-0.52,1.07,25.8,0.907,Relax
15,8,20.125,-0.15,-0.53,1.06,26,0.907,Relax
15,8,20.25,-0.15,-0.53,1.05,25.8,0.907,Relax
15,8,20.375,-0.14,-0.54,1.07,26,0.907,Relax
15,8,20.5,-0.16,-0.53,1.06,26,0.907,Relax
15,8,20.625,-0.15,-0.53,1.07,25.8,0.907,Relax
15,8,20.75,-0.15,-0.53,1.07,26,0.907,Relax
15,8,20.875,-0.14,-0.53,1.06,26,0.902,Relax
15,8,21,-0.15,-0.53,1.07,25.8,0.899,Relax
15,8,21.125,-0.16,-0.54,1.07,26,0.899,Relax
15,8,21.25,-0.14,-0.52,1.08,26,0.899,Relax
15,8,21.375,-0.16,-0.53,1.06,26,0.899,Relax
15,8,21.5,-0.16,-0.53,1.05,26,0.899,Relax
15,8,21.625,-0.14,-0.53,1.06,26,0.899,Relax
15,8,21.75,-0.15,-0.53,1.07,26,0.893,Relax
15,8,21.875,-0.15,-0.53,1.06,26,0.896,Relax
15,8,22,-0.12,-0.52,1.09,26,0.896,Relax
15,8,22.125,-0.16,-0.53,1.05,26,0.89,Relax
15,8,22.25,-0.16,-0.52,1.07,26,0.89,Relax
15,8,22.375,-0.14,-0.52,1.07,26,0.89,Relax
15,8,22.5,-0.14,-0.53,1.07,26,0.887,Relax
15,8,22.625,-0.15,-0.53,1.06,26,0.887,Relax
15,8,22.75,-0.15,-0.53,1.06,26,0.887,Relax
15,8,22.875,-0.15,-0.53,1.07,26,0.882,Relax
15,8,23,-0.15,-0.52,1.06,26,0.882,Relax
15,8,23.125,-0.15,-0.53,1.06,26,0.882,Relax
15,8,23.25,-0.15,-0.53,1.06,26,0.882,Relax
15,8,23.375,-0.15,-0.53,1.07,26,0.882,Relax
15,8,23.5,-0.15,-0.53,1.07,26,0.882,Relax
15,8,23.625,-0.15,-0.54,1.06,26,0.882,Relax
15,8,23.75,-0.15,-0.53,1.07,26,0.882,Relax
15,8,23.875,-0.14,-0.53,1.07,26,0.879,Relax
15,8,24,-0.15,-0.53,1.06,26,0.879,Relax
15,8,24.125,-0.15,-0.53,1.06,26,0.873,Relax
15,8,24.25,-0.15,-0.53,1.06,26,0.873,Relax
15,8,24.375,-0.15,-0.53,1.07,26,0.873,Relax
15,8,24.5,-0.15,-0.53,1.06,26,0.873,Relax
15,8,24.625,-0.15,-0.53,1.06,26,0.873,Relax
15,8,24.75,-0.15,-0.53,1.06,26,0.873,Relax
15,8,24.875,-0.14,-0.53,1.07,26,0.873,Relax
15,8,25,-0.15,-0.53,1.07,26,0.87,Relax
15,8,25.125,-0.15,-0.53,1.07,26,0.87,Relax
15,8,25.25,-0.15,-0.53,1.07,26,0.865,Relax
15,8,25.375,-0.15,-0.53,1.07,26,0.865,Relax
15,8,25.5,-0.15,-0.53,1.07,26,0.865,Relax
15,8,25.625,-0.15,-0.53,1.07,26,0.865,Relax
15,8,25.75,-0.15,-0.53,1.07,26,0.862,Relax
15,8,25.875,-0.15,-0.53,1.06,26,0.862,Relax
15,8,26,-0.15,-0.53,1.07,26,0.856,Relax
15,8,26.125,-0.15,-0.53,1.06,26,0.856,Relax
15,8,26.25,-0.15,-0.52,1.06,26,0.862,Relax
15,8,26.375,-0.15,-0.53,1.07,26,0.856,Relax
15,8,26.5,-0.14,-0.53,1.06,26,0.856,Relax
15,8,26.625,-0.15,-0.53,1.07,26,0.856,Relax
15,8,26.75,-0.15,-0.53,1.06,26,0.853,Relax
15,8,26.875,-0.15,-0.53,1.07,26,0.853,Relax
15,8,27,-0.15,-0.53,1.06,26,0.853,Relax
15,8,27.125,-0.15,-0.53,1.06,26,0.853,Relax
15,8,27.25,-0.15,-0.53,1.06,26,0.853,Relax
15,8,27.375,-0.15,-0.54,1.06,26.2,0.848,Relax
15,8,27.5,-0.15,-0.53,1.06,26,0.848,Relax
15,8,27.625,-0.15,-0.53,1.06,26,0.848,Relax
15,8,27.75,-0.15,-0.53,1.06,26,0.848,Relax
15,8,27.875,-0.15,-0.53,1.07,26,0.848,Relax
15,8,28,-0.15,-0.53,1.06,26,0.848,Relax
15,8,28.125,-0.15,-0.53,1.06,26,0.848,Relax
15,8,28.25,-0.15,-0.53,1.07,26,0.848,Relax
15,8,28.375,-0.15,-0.53,1.06,26,0.848,Relax
15,8,28.5,-0.15,-0.53,1.06,26,0.845,Relax
15,8,28.625,-0.15,-0.53,1.07,26,0.842,Relax
15,8,28.75,-0.15,-0.53,1.06,26,0.84,Relax
15,8,28.875,-0.15,-0.53,1.06,26,0.84,Relax
15,8,29,-0.15,-0.52,1.07,26.2,0.84,Relax
15,8,29.125,-0.15,-0.53,1.07,26,0.84,Relax
15,8,29.25,-0.15,-0.53,1.07,26,0.84,Relax
15,8,29.375,-0.15,-0.52,1.06,26,0.84,Relax
15,8,29.5,-0.15,-0.53,1.06,26,0.831,Relax
15,8,29.625,-0.15,-0.53,1.07,26,0.831,Relax
15,8,29.75,-0.15,-0.52,1.06,26,0.837,Relax
15,8,29.875,-0.15,-0.53,1.07,26.2,0.831,Relax
15,8,30,-0.15,-0.52,1.06,26,0.828,Relax
15,8,30.125,-0.15,-0.53,1.06,26,0.828,Relax
15,8,30.25,-0.15,-0.53,1.06,26.2,0.828,Relax
15,8,30.375,-0.15,-0.53,1.06,26,0.828,Relax
15,8,30.5,-0.15,-0.53,1.07,26.2,0.823,Relax
15,8,30.625,-0.15,-0.52,1.06,26.2,0.823,Relax
15,8,30.75,-0.15,-0.53,1.07,26,0.828,Relax
15,8,30.875,-0.14,-0.53,1.06,26.2,0.823,Relax
15,8,31,-0.15,-0.53,1.06,26.2,0.823,Relax
15,8,31.125,-0.15,-0.53,1.06,26.2,0.823,Relax
15,8,31.25,-0.15,-0.53,1.07,26,0.823,Relax
15,8,31.375,-0.15,-0.53,1.06,26.2,0.823,Relax
15,8,31.5,-0.15,-0.53,1.06,26.2,0.815,Relax
15,8,31.625,-0.15,-0.53,1.07,26.2,0.815,Relax
15,8,31.75,-0.14,-0.53,1.07,26.2,0.815,Relax
15,8,31.875,-0.15,-0.53,1.06,26.2,0.817,Relax
15,8,32,-0.15,-0.53,1.06,26.2,0.815,Relax
15,8,32.125,-0.15,-0.53,1.06,26.2,0.815,Relax
15,8,32.25,-0.15,-0.53,1.07,26.2,0.815,Relax
15,8,32.375,-0.15,-0.53,1.07,26.2,0.812,Relax
15,8,32.5,-0.15,-0.53,1.06,26,0.812,Relax
15,8,32.625,-0.15,-0.53,1.07,26.2,0.812,Relax
15,8,32.75,-0.15,-0.52,1.07,26.2,0.807,Relax
15,8,32.875,-0.15,-0.53,1.06,26.2,0.807,Relax
15,8,33,-0.15,-0.53,1.07,26.2,0.807,Relax
15,8,33.125,-0.15,-0.53,1.07,26.2,0.807,Relax
15,8,33.25,-0.15,-0.53,1.07,26.2,0.807,Relax
15,8,33.375,-0.15,-0.53,1.07,26.2,0.807,Relax
15,8,33.5,-0.15,-0.53,1.07,26.2,0.804,Relax
15,8,33.625,-0.15,-0.53,1.06,26.2,0.804,Relax
15,8,33.75,-0.15,-0.53,1.06,26.2,0.799,Relax
15,8,33.875,-0.15,-0.53,1.07,26.2,0.804,Relax
15,8,34,-0.15,-0.53,1.07,26.2,0.799,Relax
